"","Participant","pw12_ang/pw34_fea_w01","pw12_ang/pw34_fea_w02","pw12_ang/pw34_fea_w03","pw12_ang/pw34_fea_w04","pw12_fea/pw34_ang_w01","pw12_fea/pw34_ang_w02","pw12_fea/pw34_ang_w03","pw12_fea/pw34_ang_w04","Baseline_w01","Baseline_w02","Baseline_w03","Baseline_w04"
"1","03adab22",0.464285714285714,0.214285714285714,0.178571428571429,0.428571428571429,0.535714285714286,0.178571428571429,0.481481481481481,0.321428571428571,0.464285714285714,0.214285714285714,0.321428571428571,0.392857142857143
"2","05da49af",0.357142857142857,0.142857142857143,0.214285714285714,0.321428571428571,0.392857142857143,0.0357142857142857,0.214285714285714,0.25,0.428571428571429,0.107142857142857,0.259259259259259,0.285714285714286
"3","10da0ee5",0.571428571428571,0.428571428571429,0.423076923076923,0.428571428571429,0.392857142857143,0.357142857142857,0.392857142857143,0.357142857142857,0.642857142857143,0.392857142857143,0.423076923076923,0.5
"4","1547126d",0.357142857142857,0.178571428571429,0.178571428571429,0.392857142857143,0.285714285714286,0.142857142857143,0.214285714285714,0.285714285714286,0.392857142857143,0.178571428571429,0.148148148148148,0.25
"5","19112116",0.428571428571429,0.178571428571429,0.285714285714286,0.392857142857143,0.428571428571429,0.25,0.357142857142857,0.464285714285714,0.518518518518518,0.142857142857143,0.37037037037037,0.392857142857143
"6","1d6d7f39",0.607142857142857,0.214285714285714,0.321428571428571,0.607142857142857,0.535714285714286,0.25,0.285714285714286,0.357142857142857,0.464285714285714,0.178571428571429,0.214285714285714,0.518518518518518
"7","25e32d6b",0.678571428571429,0.464285714285714,0.5,0.392857142857143,0.642857142857143,0.392857142857143,0.535714285714286,0.678571428571429,0.75,0.607142857142857,0.464285714285714,0.464285714285714
"8","339fa9f6",0.642857142857143,0.142857142857143,0.214285714285714,0.428571428571429,0.444444444444444,0.107142857142857,0.178571428571429,0.642857142857143,0.535714285714286,0.392857142857143,0.321428571428571,0.571428571428571
"9","34891e4e",0.851851851851852,0.392857142857143,0.571428571428571,0.642857142857143,0.857142857142857,0.392857142857143,0.464285714285714,0.642857142857143,0.703703703703704,0.285714285714286,0.464285714285714,0.535714285714286
"10","3c3a6a03",0.75,0.321428571428571,0.464285714285714,0.535714285714286,0.678571428571429,0.392857142857143,0.481481481481481,0.571428571428571,0.75,0.428571428571429,0.5,0.571428571428571
"11","4ade5f31",0.666666666666667,0.428571428571429,0.5,0.535714285714286,0.642857142857143,0.37037037037037,0.5,0.384615384615385,0.392857142857143,0.296296296296296,0.25,0.357142857142857
"12","4d35103d",0.296296296296296,0.107142857142857,0.148148148148148,0.357142857142857,0.392857142857143,0.178571428571429,0.25,0.464285714285714,0.357142857142857,0.142857142857143,0.25,0.428571428571429
"13","5232b1c3",0.5,0.285714285714286,0.392857142857143,0.535714285714286,0.607142857142857,0.214285714285714,0.357142857142857,0.571428571428571,0.703703703703704,0.392857142857143,0.428571428571429,0.392857142857143
"14","5ce81bcf",0.571428571428571,0.285714285714286,0.285714285714286,0.464285714285714,0.392857142857143,0.407407407407407,0.428571428571429,0.357142857142857,0.571428571428571,0.5,0.392857142857143,0.464285714285714
"15","5eb70e6b",0.571428571428571,0.25,0.5,0.518518518518518,0.535714285714286,0.285714285714286,0.392857142857143,0.571428571428571,0.461538461538462,0.25,0.285714285714286,0.357142857142857
"16","5ed25fdf",0.321428571428571,0.285714285714286,0.321428571428571,0.285714285714286,0.357142857142857,0.25,0.148148148148148,0.321428571428571,0.392857142857143,0.285714285714286,0.285714285714286,0.214285714285714
"17","607960f0",0.535714285714286,0.392857142857143,0.75,0.777777777777778,0.392857142857143,0.214285714285714,0.571428571428571,0.407407407407407,0.357142857142857,0.259259259259259,0.5,0.678571428571429
"18","624ae1f3",0.678571428571429,0.392857142857143,0.5,0.607142857142857,0.5,0.214285714285714,0.464285714285714,0.5,0.428571428571429,0.107142857142857,0.407407407407407,0.518518518518518
"19","6d44f0e3",0.392857142857143,0.285714285714286,0.464285714285714,0.428571428571429,0.5,0.25,0.392857142857143,0.5,0.5,0.178571428571429,0.357142857142857,0.392857142857143
"20","7b15ace2",0.714285714285714,0.428571428571429,0.535714285714286,0.642857142857143,0.428571428571429,0.464285714285714,0.444444444444444,0.5,0.642857142857143,0.5,0.407407407407407,0.428571428571429
"21","83f395b3",0.321428571428571,0.214285714285714,0.285714285714286,0.357142857142857,0.464285714285714,0.25,0.357142857142857,0.464285714285714,0.392857142857143,0.321428571428571,0.321428571428571,0.321428571428571
"22","8b1637a8",0.52,0.428571428571429,0.703703703703704,0.62962962962963,0.518518518518518,0.464285714285714,0.518518518518518,0.592592592592593,0.518518518518518,0.464285714285714,0.518518518518518,0.392857142857143
"23","9219adfa",0.464285714285714,0.285714285714286,0.392857142857143,0.535714285714286,0.535714285714286,0.178571428571429,0.25,0.571428571428571,0.62962962962963,0.142857142857143,0.423076923076923,0.461538461538462
"24","9966fcf3",0.571428571428571,0.357142857142857,0.285714285714286,0.464285714285714,0.607142857142857,0.25,0.392857142857143,0.5,0.428571428571429,0.535714285714286,0.5,0.571428571428571
"25","ac09d258",0.571428571428571,0.321428571428571,0.518518518518518,0.642857142857143,0.5,0.357142857142857,0.428571428571429,0.571428571428571,0.5,0.392857142857143,0.607142857142857,0.535714285714286
"26","b4c7f791",0.607142857142857,0.307692307692308,0.357142857142857,0.5,0.607142857142857,0.357142857142857,0.357142857142857,0.571428571428571,0.571428571428571,0.214285714285714,0.25,0.357142857142857
"27","cffaace5",0.642857142857143,0.5,0.357142857142857,0.571428571428571,0.5,0.392857142857143,0.464285714285714,0.464285714285714,0.571428571428571,0.357142857142857,0.535714285714286,0.428571428571429
"28","d20d40cc",0.535714285714286,0.178571428571429,0.428571428571429,0.464285714285714,0.392857142857143,0.214285714285714,0.321428571428571,0.428571428571429,0.464285714285714,0.185185185185185,0.392857142857143,0.535714285714286
"29","d38ffd0b",0.464285714285714,0.285714285714286,0.535714285714286,0.428571428571429,0.428571428571429,0.25,0.5,0.407407407407407,0.538461538461538,0.428571428571429,0.653846153846154,0.481481481481481
"30","d4f68536",0.481481481481481,0.285714285714286,0.357142857142857,0.428571428571429,0.464285714285714,0.25,0.178571428571429,0.428571428571429,0.571428571428571,0.296296296296296,0.321428571428571,0.392857142857143
"31","d590d5c3",0.642857142857143,0.285714285714286,0.535714285714286,0.607142857142857,0.607142857142857,0.321428571428571,0.481481481481481,0.607142857142857,0.642857142857143,0.357142857142857,0.321428571428571,0.642857142857143
"32","d5f6a828",0.571428571428571,0.357142857142857,0.357142857142857,0.392857142857143,0.428571428571429,0.25,0.357142857142857,0.321428571428571,0.464285714285714,0.222222222222222,0.214285714285714,0.321428571428571
"33","dcbab922",0.571428571428571,0.37037037037037,0.428571428571429,0.5,0.555555555555556,0.321428571428571,0.407407407407407,0.392857142857143,0.535714285714286,0.285714285714286,0.285714285714286,0.259259259259259
"34","dcc56fb0",0.464285714285714,0.142857142857143,0.25,0.464285714285714,0.535714285714286,0.321428571428571,0.321428571428571,0.5,0.357142857142857,0.25,0.285714285714286,0.464285714285714
