"","Participant","pw12_ang/pw34_fea_pw12","pw12_ang/pw34_fea_pw34","pw12_fea/pw34_ang_pw12","pw12_fea/pw34_ang_pw34"
"1","03adab22",0.339285714285714,0.303571428571429,0.357142857142857,0.401098901098901
"2","05da49af",0.25,0.267857142857143,0.214285714285714,0.232142857142857
"3","10da0ee5",0.5,0.425824175824176,0.375,0.375
"4","1547126d",0.267857142857143,0.285714285714286,0.214285714285714,0.25
"5","19112116",0.303571428571429,0.339285714285714,0.339285714285714,0.410714285714286
"6","1d53fae5",0.398351648351648,0.485119047619048,0.5,0.471153846153846
"7","1d6d7f39",0.410714285714286,0.464285714285714,0.392857142857143,0.321428571428571
"8","25e32d6b",0.571428571428571,0.446428571428571,0.517857142857143,0.607142857142857
"9","26021dea",0.321428571428571,0.303571428571429,0.339285714285714,0.321428571428571
"10","339fa9f6",0.392857142857143,0.321428571428571,0.274725274725275,0.410714285714286
"11","34891e4e",0.622252747252747,0.607142857142857,0.625,0.553571428571429
"12","3c3a6a03",0.535714285714286,0.5,0.535714285714286,0.526098901098901
"13","3d663343",0.361263736263736,0.392857142857143,0.324175824175824,0.446428571428571
"14","4ade5f31",0.546703296703297,0.517857142857143,0.506868131868132,0.443452380952381
"15","4d35103d",0.201923076923077,0.251373626373626,0.285714285714286,0.357142857142857
"16","501e2935",0.375,0.392857142857143,0.392857142857143,0.5
"17","5232b1c3",0.392857142857143,0.464285714285714,0.410714285714286,0.464285714285714
"18","5ce81bcf",0.428571428571429,0.375,0.402472527472527,0.392857142857143
"19","5eb70e6b",0.410714285714286,0.509615384615385,0.410714285714286,0.482142857142857
"20","5ed25fdf",0.303571428571429,0.303571428571429,0.303571428571429,0.23489010989011
"21","607960f0",0.464285714285714,0.763736263736264,0.303571428571429,0.490384615384615
"22","624ae1f3",0.535714285714286,0.553571428571429,0.357142857142857,0.482142857142857
"23","678c9205",0.486263736263736,0.589285714285714,0.482142857142857,0.453296703296703
"24","6d44f0e3",0.339285714285714,0.446428571428571,0.375,0.446428571428571
"25","7b15ace2",0.571428571428571,0.589285714285714,0.446428571428571,0.472527472527473
"26","83f395b3",0.267857142857143,0.321428571428571,0.357142857142857,0.410714285714286
"27","8b1637a8",0.472298534798535,0.671703296703297,0.494505494505495,0.553571428571429
"28","9219adfa",0.375,0.464285714285714,0.357142857142857,0.410714285714286
"29","9966fcf3",0.464285714285714,0.375,0.428571428571429,0.446428571428571
"30","ac09d258",0.446428571428571,0.581043956043956,0.428571428571429,0.5
"31","b4c7f791",0.458333333333333,0.428571428571429,0.482142857142857,0.464285714285714
"32","cffaace5",0.571428571428571,0.464285714285714,0.446428571428571,0.464285714285714
"33","d20d40cc",0.357142857142857,0.446428571428571,0.303571428571429,0.375
"34","d38ffd0b",0.375,0.482142857142857,0.339285714285714,0.453296703296703
"35","d4f68536",0.384615384615385,0.392857142857143,0.357142857142857,0.303571428571429
"36","d590d5c3",0.464285714285714,0.571428571428571,0.464285714285714,0.543956043956044
"37","d5f6a828",0.464285714285714,0.375,0.339285714285714,0.339285714285714
"38","dcbab922",0.473901098901099,0.464285714285714,0.436813186813187,0.399725274725275
"39","dcc56fb0",0.303571428571429,0.357142857142857,0.428571428571429,0.410714285714286
"40","dce7618c",0.392857142857143,0.410714285714286,0.446428571428571,0.446428571428571
"41","de2e65dc",0.597527472527473,0.571428571428571,0.5,0.571428571428571
"42","df4955c7",0.678571428571429,0.571428571428571,0.649725274725275,0.625
"43","df6b31a9",0.446428571428571,0.5,0.482142857142857,0.607142857142857
"44","e0670839",0.375,0.392857142857143,0.357142857142857,0.464285714285714
"45","e479ba78",0.428571428571429,0.464285714285714,0.357142857142857,0.392857142857143
"46","eda7b7e6",0.482142857142857,0.357142857142857,0.375,0.339285714285714
"47","f34a88cf",0.303571428571429,0.428571428571429,0.321428571428571,0.303571428571429
